repo,tier,issue_idx,role,n_gt_files,gt_in_map,gt_missing_from_map,first_gt_file_reached,rank_of_first_gt_file,min_tokens_for_one_gt,min_files_kept_for_one_gt,nodoc_tokens_full_map
core,large,16,flexible,1,1,,homeassistant/components/climate/mysensors.py,289.0,53692.0,289.0,155996.0
core,large,20,single,1,1,,homeassistant/components/notify/html5.py,168.0,24412.0,168.0,80856.0
fastapi,small,9,multi,4,3,docs_src/custom_response/tutorial006.py,fastapi/routing.py,1.0,1879.0,1.0,6668.0
fastapi,small,17,single,1,1,,fastapi/routing.py,1.0,2137.0,1.0,7367.0
fastapi,small,20,flexible,1,0,fastapi/background.py,,,,,
flask,small,3,single,1,1,,src/flask/app.py,1.0,452.0,1.0,4270.0
flask,small,6,flexible,1,1,,src/flask/scaffold.py,5.0,2251.0,5.0,4047.0
flask,small,18,multi,2,2,,src/flask/app.py,1.0,910.0,1.0,4093.0
gpt-engineer,small,9,single,1,1,,gpt_engineer/core/ai.py,5.0,1206.0,5.0,2635.0
gpt-engineer,small,11,flexible,1,1,,gpt_engineer/core/diff.py,8.0,1604.0,8.0,2586.0
gpt-engineer,small,12,multi,6,4,tests/caching_ai.py;projects/example-improve/controller.py,gpt_engineer/core/default/steps.py,2.0,428.0,2.0,1674.0
keras,medium,5,flexible,1,1,,keras/engine/saving.py,45.0,18061.0,45.0,20217.0
keras,medium,9,single,1,1,,keras/utils/data_utils.py,18.0,13646.0,18.0,21800.0
keras,medium,12,multi,5,4,keras/utils/__init__.py,keras/models.py,2.0,1241.0,2.0,17631.0
localstack,medium,2,single,1,1,,localstack/services/s3/s3_listener.py,4.0,5182.0,4.0,37303.0
localstack,medium,9,flexible,1,1,,localstack/services/s3/s3_listener.py,3.0,3177.0,3.0,18582.0
localstack,medium,19,multi,7,6,localstack/constants.py,localstack/services/s3/s3_listener.py,3.0,2640.0,3.0,14406.0
pandas,large,26,extra,2,2,,pandas/core/generic.py,8.0,16515.0,8.0,49452.0
pandas,large,35,single,1,1,,pandas/src/generate_code.py,35.0,39566.0,35.0,53361.0
pandas,large,38,flexible,2,2,,pandas/core/reshape/pivot.py,63.0,52911.0,63.0,89453.0
pandas,large,44,multi,2,1,pandas/core/indexing.py,pandas/tseries/index.py,3.0,3312.0,3.0,15464.0
requests,small,7,single,1,1,,requests/cookies.py,8.0,1775.0,8.0,2125.0
requests,small,12,multi,3,3,,requests/sessions.py,2.0,602.0,2.0,1849.0
requests,small,13,flexible,1,1,,requests/sessions.py,2.0,602.0,2.0,1878.0
rich,medium,1,flexible,1,1,,rich/console.py,1.0,1573.0,1.0,11753.0
rich,medium,8,single,1,1,,rich/file_proxy.py,58.0,11669.0,58.0,11967.0
rich,medium,12,multi,4,4,,rich/console.py,1.0,1593.0,1.0,12276.0
scikit-learn,large,5,flexible,1,1,,sklearn/decomposition/_pca.py,94.0,28899.0,94.0,46547.0
scikit-learn,large,45,multi,2,1,sklearn/_min_dependencies.py,sklearn/decomposition/_truncated_svd.py,94.0,34161.0,94.0,50433.0
scikit-learn,large,49,single,1,1,,sklearn/linear_model/_coordinate_descent.py,53.0,19415.0,53.0,47457.0
scrapy,medium,20,flexible,1,1,,scrapy/settings/__init__.py,15.0,4050.0,15.0,18583.0
scrapy,medium,26,single,1,1,,scrapy/extensions/feedexport.py,6.0,2051.0,6.0,17975.0
scrapy,medium,48,multi,2,2,,scrapy/utils/url.py,8.0,1584.0,8.0,14709.0
stable-diffusion-webui,medium,0,single,1,1,,modules/styles.py,41.0,10234.0,41.0,20154.0
stable-diffusion-webui,medium,5,multi,3,1,modules/shared_options.py;javascript/extraNetworks.js,modules/ui_extra_networks.py,15.0,5457.0,15.0,20202.0
stable-diffusion-webui,medium,13,flexible,2,1,extensions-builtin/LDSR/sd_hijack_ddpm_v1.py,modules/models/diffusion/ddpm_edit.py,72.0,15337.0,72.0,17163.0
thefuck,small,5,single,1,1,,thefuck/shells.py,2.0,497.0,2.0,3026.0
thefuck,small,10,multi,3,3,,thefuck/utils.py,1.0,294.0,1.0,5767.0
thefuck,small,20,flexible,1,1,,thefuck/shells/fish.py,11.0,1036.0,11.0,4661.0
transformers,large,5,multi,6,4,src/transformers/__init__.py;utils/check_repo.py,src/transformers/modeling_tf_auto.py,40.0,33609.0,40.0,95590.0
transformers,large,25,single,1,1,,src/transformers/tokenization_utils_base.py,6.0,6102.0,6.0,228513.0
transformers,large,27,flexible,12,12,,src/transformers/tokenization_utils_fast.py,23.0,28731.0,23.0,222549.0
yt-dlp,large,23,flexible,1,1,,yt_dlp/extractor/sportdeutschland.py,211.0,42218.0,211.0,78780.0
yt-dlp,large,41,single,1,1,,yt_dlp/options.py,4.0,8142.0,4.0,82774.0
yt-dlp,large,45,multi,2,2,,yt_dlp/YoutubeDL.py,1.0,2004.0,1.0,87037.0
