repo,tier,issue_idx,base_commit,commit_date,python_loc,n_source_files,file_type,body_len,title,source_files
requests,small,0,ccabcf1fca906bfa6b65a3189c1c41061e6c1042,2016-11-23,25762,1,single,3211,AttributeError: 'NoneType' object has no attribute 'read',['requests/models.py']
requests,small,1,f5dacf84468ab7e0631cc61a3f1431a32e3e143c,2015-06-22,14394,1,single,867,utils.get_netrc_auth silently fails when netrc exists but fails to parse,['requests/utils.py']
requests,small,2,7eaa5ee37f2ef0fb37dc6e9efbead726665810b4,2016-10-31,25314,1,single,2444,URL proxy auth with empty passwords doesn't emit auth header.,['requests/adapters.py']
requests,small,4,9968a10fcfad7268b552808c4f8946eecafc956a,2013-09-25,12806,2,multi,362,Requests doesn't catch requests.packages.urllib3.exceptions.ProxyError,"['requests/adapters.py', 'requests/exceptions.py']"
requests,small,5,be62645dd56580dd7576032b348cf79d880851d8,2013-02-25,11461,1,single,815,Session pickling support is broken and tests for it are removed,['requests/sessions.py']
requests,small,6,2203c3bccd5e4888a16d73247d540fd6e359d29c,2011-02-14,307,1,single,309,Cookie support?,['requests/core.py']
requests,small,7,ac4e05874a1a983ca126185a0e4d4e74915f792e,2014-01-09,2860,1,single,1746,Brittle test,['requests/cookies.py']
requests,small,8,5a41febce249e7b74eb37ba7914998ff08321c38,2016-09-29,16078,1,single,2078,HTTPS requests through proxies in proposed/3.0.0 aren't configured correctly,['requests/adapters.py']
requests,small,9,4e89ba707714e3b58a46c2ed9e220cff8b7f1e6a,2015-11-10,14761,1,single,625,Post request hangs in certain cases when body is a StringIO,['requests/utils.py']
requests,small,10,56ecdebcc507c71f2386d3bf2ea14db2d27cc834,2015-09-06,14409,1,single,382,Json supersedes data in prepare_body,['requests/models.py']
requests,small,11,1c52d15d9772e459add567cbdc9d38a284a8d939,2014-11-07,13832,1,single,848,ResourceWarning in python 3.2+,['requests/api.py']
requests,small,12,be62645dd56580dd7576032b348cf79d880851d8,2013-02-25,11461,3,multi,452,Not possible to specify max_retries in v1.X?,"['requests/sessions.py', 'requests/adapters.py', 'requests/api.py']"
requests,small,13,1642996798416efaca754e4678506502e4c4c1f3,2013-03-12,11479,1,single,977,Problem with missing cookies after redirect,['requests/sessions.py']
requests,small,14,4683f169909857d663275346655975af7190fd62,2016-12-09,25807,1,single,558,Authentication Handlers lost on redirect.,['requests/auth.py']
requests,small,15,1c2022cf868cb503815f34901ad8e85cf524d01a,2017-08-10,3828,1,single,827,Add header name to InvalidHeader exception message,['requests/utils.py']
requests,small,16,0192aac24123735b3eaf9b08df46429bb770c283,2022-01-03,4139,1,single,1594,Exception messages,['requests/sessions.py']
requests,small,17,e23bf10cf4ecc62f6c3dd6284043516fb833d9ce,2014-12-08,14087,2,multi,600,Requests 2.5.1 doesn't recognize unicode filenames for uploads,"['requests/utils.py', 'requests/compat.py']"
requests,small,18,9473f15909fb3f2329247812e0d3c661421ceafc,2013-07-27,2543,3,multi,1382,bug report,"['requests/exceptions.py', 'requests/models.py', 'requests/compat.py']"
requests,small,19,27b55a74d7b9bd2f8c60fd0ee342bcbbf40e0a66,2012-08-10,20314,1,single,380,Content marked as consumed in 0.13.6,['requests/models.py']
