study,model,repo,issue_idx,map_type,rep,f1_exact,f1_case_insensitive,f1_delta,case_only_matches,file
study_1,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,gpt-engineer,9,ast_compact,4,0.0,1.0,1.0,"[[""Gpt_engineer/core/ai.py"", ""gpt_engineer/core/ai.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/gpt-engineer/9/ast_compact/rep4.json
study_1,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,keras,9,freq,2,0.0,1.0,1.0,"[[""Keras/utils/data_utils.py"", ""keras/utils/data_utils.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/keras/9/freq/rep2.json
study_1,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,keras,9,none,2,0.0,1.0,1.0,"[[""Keras/utils/data_utils.py"", ""keras/utils/data_utils.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/keras/9/none/rep2.json
study_1,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,thefuck,5,ast_compact,1,0.0,1.0,1.0,"[[""Thefuck/shells.py"", ""thefuck/shells.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/thefuck/5/ast_compact/rep1.json
study_1,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,thefuck,5,none,3,0.0,1.0,1.0,"[[""Thefuck/shells.py"", ""thefuck/shells.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/thefuck/5/none/rep3.json
study_2,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,keras,9,temporal_frequency,2,0.0,1.0,1.0,"[[""Keras/utils/data_utils.py"", ""keras/utils/data_utils.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/keras/9/temporal_frequency/rep2.json
study_2,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,pandas,26,temporal_frequency,3,0.6666666666666666,1.0,0.33333333333333337,"[[""Pandas/tseries/index.py"", ""pandas/tseries/index.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/pandas/26/temporal_frequency/rep3.json
study_2,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,thefuck,5,structural,3,0.0,1.0,1.0,"[[""Thefuck/shells.py"", ""thefuck/shells.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/thefuck/5/structural/rep3.json
study_3,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,pandas,26,temporal_cochange_required,3,0.5,0.8,0.30000000000000004,"[[""Pandas/tseries/index.py"", ""pandas/tseries/index.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/pandas/26/temporal_cochange_required/rep3.json
study_3,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,thefuck,5,structural_required,1,0.0,1.0,1.0,"[[""Thefuck/shells.py"", ""thefuck/shells.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/thefuck/5/structural_required/rep1.json
study_3,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,thefuck,5,temporal_cochange_required,3,0.0,1.0,1.0,"[[""Thefuck/shells.py"", ""thefuck/shells.py""]]",fireworks_ai_accounts_fireworks_models_gpt-oss-120b/thefuck/5/temporal_cochange_required/rep3.json
