repo,issue_idx,map_condition_raw,map_condition,n_models,models,pooled_mean_delta_f1,pooled_mean_delta_recall,delta_f1_std,max_minus_median_delta_f1,outlier_model,outlier_model_delta_f1,median_delta_f1,n_helped_f1,n_hurt_f1,n_neutral_f1,per_model_delta_f1
keras,5,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.4167,0.4167,0.3191,0.1667,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.6667,0.5,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.667; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.667
localstack,9,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.25,0.25,0.3191,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
localstack,9,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.25,0.25,0.3191,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
localstack,9,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.25,0.25,0.3191,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
transformers,5,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.2399,0.2333,0.1038,0.087,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3426,0.2556,4,0,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.106; deepseek/deepseek-v4-flash=+0.296; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.343; mistral/ministral-3b-latest=+0.215
pandas,26,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.2278,0.2083,0.3016,0.5445,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.6667,0.1222,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.667; deepseek/deepseek-v4-flash=+0.067; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.178; mistral/ministral-3b-latest=+0.000
keras,5,cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.2222,0.25,0.3271,0.3334,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.5556,0.2222,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.444; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.556; mistral/ministral-3b-latest=-0.111
flask,3,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.3333,0.6667,deepseek/deepseek-v4-flash,0.6667,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.667; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
thefuck,5,freq,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.1925,0.1667,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3333,0.1667,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.333; mistral/ministral-3b-latest=+0.333
keras,5,ast_compact,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.1434,0.1667,deepseek/deepseek-v4-flash,0.3333,0.1667,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.111; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.222
