source,model,repo,issue_idx,map_condition_raw,map_condition,rep,role,precision,recall,f1,success,turns_used,hit_turn_cap,stop_reason,submission_type,total_input_tokens,total_output_tokens,total_cached_tokens,total_cost,cost_source,predicted_files,ground_truth_files,source_path
exploratory,claude-haiku-4-5-20251001,transformers,27,cochange,temporal_cochange,1,flexible,0.5882,0.8333,0.6897,False,19,False,submitted,submit_answer,1105903,2740,0,1.119603,litellm_raw_UNVALIDATED,"['src/transformers/models/t5/tokenization_t5_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/rembert/tokenization_rembert_fast.py', 'src/transformers/models/roformer/tokenization_roformer_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/splinter/tokenization_splinter_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/mpnet/tokenization_mpnet_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/openai/tokenization_openai_fast.py', 'src/transformers/models/clip/tokenization_clip_fast.py', 'src/transformers/models/layoutlmv2/tokenization_layoutlmv2_fast.py']","['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/exploratory_results/claude-haiku-4-5-20251001/transformers/27/cochange/rep1.json
exploratory,claude-haiku-4-5-20251001,transformers,27,cochange,temporal_cochange,2,flexible,0.5,0.0833,0.1429,False,17,False,submitted,submit_answer,1040009,2206,0,1.051039,litellm_raw_UNVALIDATED,"['src/transformers/models/t5/tokenization_t5_fast.py', 'src/transformers/models/t5/tokenization_t5.py']","['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/exploratory_results/claude-haiku-4-5-20251001/transformers/27/cochange/rep2.json
exploratory,claude-haiku-4-5-20251001,transformers,27,cochange,temporal_cochange,3,flexible,0.3846,0.8333,0.5263,False,15,False,submitted,submit_answer,911731,3656,0,0.930011,litellm_raw_UNVALIDATED,"['src/transformers/models/t5/tokenization_t5_fast.py', 'src/transformers/models/t5/tokenization_t5.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50.py', 'src/transformers/models/rembert/tokenization_rembert_fast.py', 'src/transformers/models/rembert/tokenization_rembert.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/camembert/tokenization_camembert.py', 'src/transformers/models/phobert/tokenization_phobert.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/models/reformer/tokenization_reformer.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird.py', 'src/transformers/models/bertweet/tokenization_bertweet.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet.py', 'src/transformers/models/bert_generation/tokenization_bert_generation.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta.py', 'src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/barthez/tokenization_barthez.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/albert/tokenization_albert.py', 'src/transformers/models/xlm_prophetnet/tokenization_xlm_prophetnet.py']","['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/exploratory_results/claude-haiku-4-5-20251001/transformers/27/cochange/rep3.json
main,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,transformers,27,cochange,temporal_cochange,1,flexible,1.0,0.0833,0.1538,False,2,False,submitted,submit_answer,86716,1873,0,0.00812,recomputed_from_price_sheet,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/results/deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/transformers/27/cochange/rep1.json
main,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,transformers,27,cochange,temporal_cochange,2,flexible,1.0,0.0833,0.1538,False,2,False,submitted,submit_answer,86714,611,0,0.007615,recomputed_from_price_sheet,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/results/deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/transformers/27/cochange/rep2.json
main,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,transformers,27,cochange,temporal_cochange,3,flexible,1.0,0.0833,0.1538,False,2,False,submitted,submit_answer,86716,2442,0,0.008348,recomputed_from_price_sheet,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/results/deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/transformers/27/cochange/rep3.json
main,deepseek/deepseek-v4-flash,transformers,27,cochange,temporal_cochange,1,flexible,1.0,0.0833,0.1538,False,9,False,submitted,submit_answer,437227,2901,422784,0.004018,recomputed_from_price_sheet,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/results/deepseek_deepseek-v4-flash/transformers/27/cochange/rep1.json
main,deepseek/deepseek-v4-flash,transformers,27,cochange,temporal_cochange,2,flexible,1.0,0.0833,0.1538,False,15,False,submitted,submit_answer,772903,5643,759168,0.005629,recomputed_from_price_sheet,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/results/deepseek_deepseek-v4-flash/transformers/27/cochange/rep2.json
main,deepseek/deepseek-v4-flash,transformers,27,cochange,temporal_cochange,3,flexible,1.0,0.0833,0.1538,False,20,False,submitted,submit_answer,1179653,7531,1109760,0.015001,recomputed_from_price_sheet,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/results/deepseek_deepseek-v4-flash/transformers/27/cochange/rep3.json
exploratory,deepseek/deepseek-v4-pro,transformers,27,cochange,temporal_cochange,1,flexible,1.0,0.0833,0.1538,False,2,False,submitted,submit_answer,85872,630,42752,0.01946,litellm_raw_UNVALIDATED,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/exploratory_results/deepseek_deepseek-v4-pro/transformers/27/cochange/rep1.json
exploratory,deepseek/deepseek-v4-pro,transformers,27,cochange,temporal_cochange,2,flexible,0.5,0.0833,0.1429,False,7,False,submitted,submit_answer,305759,1500,294656,0.007203,litellm_raw_UNVALIDATED,"['src/transformers/models/t5/tokenization_t5_fast.py', 'src/transformers/models/t5/tokenization_t5.py']","['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/exploratory_results/deepseek_deepseek-v4-pro/transformers/27/cochange/rep2.json
exploratory,deepseek/deepseek-v4-pro,transformers,27,cochange,temporal_cochange,3,flexible,1.0,0.0833,0.1538,False,10,False,submitted,submit_answer,441831,1976,437632,0.005132,litellm_raw_UNVALIDATED,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/exploratory_results/deepseek_deepseek-v4-pro/transformers/27/cochange/rep3.json
main,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,transformers,27,cochange,temporal_cochange,1,flexible,1.0,0.0833,0.1538,False,3,False,end_turn,end_turn,160649,648,40150,0.024486,recomputed_from_price_sheet,['src/transformers/models/t5/tokenization_t5_fast.py'],"['src/transformers/models/barthez/tokenization_barthez_fast.py', 'src/transformers/models/mbart50/tokenization_mbart50_fast.py', 'src/transformers/models/pegasus/tokenization_pegasus_fast.py', 'src/transformers/models/big_bird/tokenization_big_bird_fast.py', 'src/transformers/models/camembert/tokenization_camembert_fast.py', 'src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py', 'src/transformers/models/reformer/tokenization_reformer_fast.py', 'src/transformers/tokenization_utils_fast.py', 'src/transformers/models/herbert/tokenization_herbert_fast.py', 'src/transformers/models/xlnet/tokenization_xlnet_fast.py', 'src/transformers/models/albert/tokenization_albert_fast.py', 'src/transformers/models/t5/tokenization_t5_fast.py']",/mnt/c/Users/afbla/Documents/Imperial/final_project/study_1/results/fireworks_ai_accounts_fireworks_models_gpt-oss-120b/transformers/27/cochange/rep1.json
