repo,tier,issue_idx,role,title,body,ground_truth,n_files,file_type
requests,small,6,single,Cookie support?,"An feature request (not found in documentation).

Does this support cookies?

Usecase: I can integrate this module inside an existings framework. This framework generate for me the authentication/session cookie, so to perform request using requests there I need to add the same auth cookie already generated.
",['requests/core.py'],1,single
requests,small,18,multi,bug report,"Dear Kenneth Reitz,

I use your Requests library which is quite cool. I ran into some issues like httplib uncaught exceptions
which (i think) should be handled by Requests.
## Consider the following code:

import requests
## r = requests.get('http://www.bilhetos.com')

It raises 'httplib.IncompleteRead' exception which is not handled properly in Requests.

Please consider urls below for testing:
http://www.tusseymountaintitans.com
http://www.abbottpanthers.com
http://www.spanishmoms.com
http://www.long-island-storage.com
http://www.cupertinohelpwanted.com
http://www.hoffmanestateshawks.com
http://www.brothermartincrusaders.com
http://www.1-800-printer.com
http://www.impiretickets.com
http://www.gdickinson.com
http://www.forensicsline.com
http://www.gardeningtime.com
http://www.ecollegetennis.com
http://www.milacasaints.com
http://www.bartoninsuranceagency.com
http://www.djnatural.com
http://www.containers2000.com
http://www.indiancreektimberwolves.com
http://www.athenswarriors.com
http://www.logansportcats.com
http://www.osani.com
http://www.xn--sammler-brse-djb.com
http://www.800usahealth.com
http://www.wealth-wise.com
http://www.foothillmustangs.com
http://www.manasquanbigblue.com
http://www.bilhetos.com
http://www.atlantahomesteam.com
http://www.foxcitiessatellite.com
http://www.chargersmail.com
http://www.fighterplace.com

Best regards,
Vladimir Goncharov
","['requests/exceptions.py', 'requests/models.py', 'requests/compat.py']",3,multi
requests,small,7,flexible,Brittle test,"The test `test_expires_valid_str` fails on my OS X box, in Python 2.7:

``` python
============================= test session starts ==============================
platform darwin -- Python 2.7.5 -- pytest-2.3.4
plugins: cov
collected 116 items 

test_requests.py .................................................................................................................F..

=================================== FAILURES ===================================
_______________ TestMorselToCookieExpires.test_expires_valid_str _______________

self = <test_requests.TestMorselToCookieExpires testMethod=test_expires_valid_str>

    def test_expires_valid_str(self):
        """"""Test case where we convert expires from string time.""""""

        morsel = Morsel()
        morsel['expires'] = 'Thu, 01-Jan-1970 00:00:01 GMT'
        cookie = morsel_to_cookie(morsel)
>       assert cookie.expires == 1
E       AssertionError: assert -3599 == 1
E        +  where -3599 = Cookie(version=0, name=None, value=None, port=None, port_specified=False, domain='', domain_specified=False, domain_in...False, secure=False, expires=-3599, discard=False, comment='', comment_url=False, rest={'HttpOnly': ''}, rfc2109=False).expires

test_requests.py:1111: AssertionError
==================== 1 failed, 115 passed in 23.32 seconds =====================
```

I've not yet got a good theory for this, though I think it's telling that the error is one hour. I don't know _what_ it's telling though, because time is complicated.

Anyway, this test needs to be rewritten to be more accepting of breakage. It's also possible that the intermittent failure of this test represents a problem with the `morsel_to_cookie` function itself, in which case that needs rewriting.
",['requests/cookies.py'],1,single
thefuck,small,23,single,UnicodeEncodeError on non-english systems,"When a command outputs a sequence with non-ascii characters, no fucks are given with a dirty UnicodeEncodeError followed by a grep --compact not recognized option.

Example : 

```
~$ aptget blah
La commande « aptget » est introuvable, vouliez-vous dire :
 La commande « apt-get » du paquet « apt » (main)
aptget : commande introuvable
~$ fuck
apt-get blah [enter/ctrl+c]
E: L'opération blah n'est pas valable
~$ fuck
Traceback (most recent call last):
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/main.py"", line 100, in get_matched_rule
    if rule.match(command, settings):
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/rules/history.py"", line 28, in match
    _history_of_exists_without_current(command)))
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/utils.py"", line 109, in wrapper
    memo[key] = fn(*args, **kwargs)
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/rules/history.py"", line 19, in _history_of_exists_without_current
    history = get_history()
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/utils.py"", line 109, in wrapper
    memo[key] = fn(*args, **kwargs)
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/shells.py"", line 267, in get_history
    return list(_get_shell().get_history())
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/shells.py"", line 67, in get_history
    prepared = self._script_from_history(line)\
  File ""/usr/local/lib/python2.7/dist-packages/thefuck-2.1-py2.7.egg/thefuck/shells.py"", line 103, in _script_from_history
    print(line)
UnicodeEncodeError: 'ascii' codec can't encode character u'\xe9' in position 4: ordinal not in range(128)
----------------------------

No fuck given
grep : option non reconnue « --compact »
Utilisation : grep [OPTION]... MOTIF [FICHIER]...
Exécutez « grep --help » pour obtenir des renseignements complémentaires.
sync: ignorer tous les arguments
```
",['thefuck/utils.py'],1,single
thefuck,small,16,multi,alias produces invalid code for fish as of 3.24,"As of 3.24 the output from `thefuck --alias` is incompatible with fish

**Output from 3.24**
```
$ thefuck --alias

            function fuck () {
                TF_PYTHONIOENCODING=$PYTHONIOENCODING;
                export TF_ALIAS=fuck;
                export TF_SHELL_ALIASES=$(alias);
                export TF_HISTORY=$(fc -ln -10);
                export PYTHONIOENCODING=utf-8;
                TF_CMD=$(
                    thefuck THEFUCK_ARGUMENT_PLACEHOLDER $@
                ) && eval $TF_CMD;
                unset TF_HISTORY;
                export PYTHONIOENCODING=$TF_PYTHONIOENCODING;
                history -s $TF_CMD;
            }
        
$ thefuck --version                                                                                                                    
The Fuck 3.24 using Python 3.5.2
```

**Output from 3.23**
```
$ thefuck --alias
function fuck -d ""Correct your previous console command""
  set -l fucked_up_command $history[1]
  env TF_ALIAS=fuck PYTHONIOENCODING=utf-8 thefuck $fucked_up_command | read -l unfucked_command
  if [ ""$unfucked_command"" != """" ]
    eval $unfucked_command
    builtin history delete --exact --case-sensitive -- $fucked_up_command
    builtin history merge ^ /dev/null
  end
end
        
$ thefuck --version                                                                                                                    
The Fuck 3.23 using Python 3.5.2
```

**Fish version output**
```
$ fish --version
fish, version 2.6.0
```","['thefuck/shells/tcsh.py', 'thefuck/shells/fish.py']",2,multi
thefuck,small,14,flexible,Args are lost with git_push,"From the README:

> `git_push` – adds `--set-upstream origin $branch` to previous failed `git push`;

This isn't actually the case, `--set-upstream` isn't added to the previous push, the entire command is replaced with just `git push --set-upstream origin $branch` regardless of whether there were any args.

Example:

```
$ git push --quiet
fatal: The current branch new-branch has no upstream branch.
To push the current branch and set the remote as upstream, use

    git push --set-upstream origin new-branch

$ fuck
git push --set-upstream origin new-branch [enter/↑/↓/ctrl+c]
```

The `--quiet` arg is lost, ideally `git push --set-upstream origin new-branch --quiet` would be suggested.
",['thefuck/rules/git_push.py'],1,single
flask,small,6,single,Flask.auto_find_instance_path() can return wrong path for namespace packages installed in development mode,"https://github.com/pallets/flask/blob/bd56d19b167822a9a23e2e9e2a07ccccc36baa8d/src/flask/scaffold.py#L798

If there are several packages under the same namespace, all installed in development mode, like:

```
~/namespace-package1/
    namespace/
        package1/
            __init__.py
            app.py
    instance/

~/namespace-package2/
    namespace/
        package2/
            __init__.py
            app.py
    instance/
```
and the code in `namespace.package2` uses `app.instance_path`, then its expected value is `~/namespace-package2/instance` ([""Uninstalled package"" decision path](https://flask.palletsprojects.com/en/2.1.x/config/#instance-folders)).

Instead of that the following happens:
* `find_package()` [cuts import info](https://github.com/pallets/flask/blob/bd56d19b167822a9a23e2e9e2a07ccccc36baa8d/src/flask/scaffold.py#L846) to the very top package name, `namespace`,
* then `_find_package_path()` finds module specification for the whole namespace package, which contains several submodule search locations, like `ModuleSpec(name='namespace', loader=<_frozen_importlib_external._NamespaceLoader object at ...>, submodule_search_locations=_NamespacePath(['~/namespace-package1/namespace', '~/namespace-package2/namespace']))`
* and then the quoted line returns first, i.e. _arbitrary_, package from that namespace, e.g. `~/namespace-package1`, which produces wrong instance path.

Suggestion: pass also `import_name` into `_find_package_path` and use it for resolving ambiguity at this point, like:

```
def _find_package_path(root_mod_name, import_name):
...
            if spec.origin in {""namespace"", None}:
                package_spec = importlib.util.find_spec(import_name)
                package_path = os.path.commonpath(package_spec.submodule_search_locations)
                return os.path.dirname(next(
                    location for location in spec.submodule_search_locations
                    if package_path.startswith(location)
                ))
```",['src/flask/scaffold.py'],1,single
flask,small,17,multi,How should logging in Flask look like?,"Flask started to ship with a default, hardcoded logging handler. Unfortunately this setup makes it harder to install custom logging setups, because then you'll have to undo all the things Flask did to the app logger, or replace the `app.logger` entirely. A symptom of this is #1993, where Flask's own logger had to be tweaked yet again such that messages didn't get logged twice (once via Flask's setup, once via the custom one).

My question is: **Do we even want Flask to do any logging setup?** It appears that this sort of default logging is only useful during development, so maybe it makes sense to set up a default logging handler in the new Flask CLI instead of from within the application.
","['flask/logging.py', 'flask/app.py']",2,multi
flask,small,9,flexible,Harmless race condition in tutorial,"I was browsing the flaskr tutorial when I noticed an (admittedly quite unlikely) race condition in the `register` view, specifically:

```py
if not username:
    error = 'Username is required.'
elif not password:
    error = 'Password is required.'
elif db.execute(
    'SELECT id FROM user WHERE username = ?', (username,)
).fetchone() is not None:
    error = f""User {username} is already registered.""

if error is None:
    db.execute(
        'INSERT INTO user (username, password) VALUES (?, ?)',
        (username, generate_password_hash(password))
    )
    db.commit()
    return redirect(url_for('auth.login'))
```

If two requests arrive with the right timing, the following can happen:

```
   Request 1:                                Request 2:
SELECT id
  FROM user
 WHERE username = abc
     |
     v
empty, no such user

                                          SELECT id
                                            FROM user
                                           WHERE username = abc
                                               |
                                               v
                                          empty, no such user

INSERT INTO user (username, password)
     VALUES (abc, 123)
     |
     v
    ok

                                          INSERT INTO user (username, password)
                                               VALUES (abc, 456)
                                               |
                                               v
                                          failed UNIQUE constraint -> 
                                          -> sqlite3.IntegrityError ->
                                          -> user gets HTTP 500
```

While the likelihood of this happening is pretty small and the harm practically zero (user gets HTTP 500 and has to manually login/choose a different username), I feel like this is not really the sort of good practice the tutorial should teach. I also believe it's important the developer understands that it's the UNIQUE constraint that ensures their app works correctly and not the if condition in the application code (the tutorial mentions SQL injection attacks and explains what protects the developer against them, so I don't really feel this is out of scope).

In my own app I've modified the code to the following:
```py
if not username:
    error = 'Username is required.'
elif not password:
    error = 'Password is required.'
else:
    try:
        db.execute(
            'INSERT INTO users (username, password) VALUES (?, ?)',
            (username, generate_password_hash(password))
        )
        db.commit()
    except IntegrityError:
        error = f""User {username} is already registered.""
    else:
        return redirect(url_for('auth.login'))
```

I suggest something similar be incorporated into the tutorial, with a short explanation (maybe a comment) of how the UNIQUE constraint does the work for the developer and maybe a note about the principle that one should ""ask forgiveness, not permission."" I'm not sure on how it's better worded, so I'm making this an issue instead of a pull request.

Cheers, and thank you for your great work!",['src/flask/typing.py'],1,single
gpt-engineer,small,32,single,exporting the api key to the environment doesn't work for me,"I can't get the export command to work, so an alternative solution like using an extern file or hardcoding the api in the code would be a nice solution. I personally created an external json config file and parsed the api key from that to the python script. 

So a solution could be:

1) Make a json file named ""config.json""
2) Inside of ai.py add:
```
import json

def get_api_key(file_name: str) -> str:
    with open(file_name, 'r') as f:
        config = json.load(f)
    return config['openai_api_key']
```
    
3) Inside of config.json add: 
```
{
    ""openai_api_key"": ""your_api_key""
}
```

4) In the __init__ part of the AI class add:
```
class AI:
    def __init__(self, **kwargs):
        openai.api_key = get_api_key(""config.json"")
        self.kwargs = kwargs
```",['ai.py'],1,single
