mechanism,candidate_turn,candidate_files,candidate_f1,final_files,final_f1,n_candidates,stop_reason,study,model,repo,issue_idx,map_type,rep,file
CONTENT_STATED,2,"[""fastapi/openapi/utils.py""]",0.0,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,freq,1,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/fastapi/17/freq/rep1.json
CONTENT_STATED,3,"[""src/flask/logging.py"", ""src/flask/app.py""]",1.0,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,flask,18,freq,3,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/flask/18/freq/rep3.json
CONTENT_STATED,7,"[""gpt_engineer/core/default/steps.py""]",0.4,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,12,ast_compact,3,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/12/ast_compact/rep3.json
CONTENT_STATED,7,"[""gpt_engineer/applications/cli/main.py"", ""gpt_engineer/core/ai.py""]",0.6666666666666666,"[""gpt_engineer/core/ai.py""]",1.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,cochange,6,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/cochange/rep6.json
CONTENT_STATED,10,"[""keras/optimizers.py""]",0.0,"[""keras/engine/saving.py""]",1.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,5,freq,2,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/5/freq/rep2.json
CONTENT_STATED,10,"[""keras/optimizers.py""]",0.0,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,5,none,11,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/5/none/rep11.json
CONTENT_STATED,14,"[""keras/engine/saving.py""]",1.0,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,5,none,2,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/5/none/rep2.json
CONTENT_STATED,6,"[""keras/engine/saving.py""]",1.0,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,5,none,8,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/5/none/rep8.json
CONTENT_STATED,3,"[""localstack/utils/persistence.py"", ""localstack/services/apigateway/apigateway_listener.py"", ""localstack/services/cloudformation/cloudformation_listener.py"", ""localstack/services/dynamodb/dynamodb_listener.py"", ""localstack/services/edge.py"", ""localstack/services/events/events_listener.py"", ""localstack/services/iam/iam_listener.py"", ""localstack/services/kinesis/kinesis_listener.py"", ""localstack/services/logs/logs_listener.py"", ""localstack/services/sns/sns_listener.py"", ""localstack/services/sqs/sqs_listener.py"", ""localstack/services/ssm/ssm_listener.py"", ""localstack/services/stepfunctions/stepfunctions_listener.py"", ""localstack/services/sts/sts_listener.py""]",0.19047619047619047,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,localstack,19,ast_compact,12,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/localstack/19/ast_compact/rep12.json
CONTENT_STATED,1,"[""pandas/core/reshape/pivot.py""]",0.6666666666666666,[],0.0,1,end_turn,study_1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,pandas,38,ast_compact,1,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/pandas/38/ast_compact/rep1.json
