model,repo,issue_idx,map_type,rep,n_rejected_submits,refused_well_formed,refused_files,final_files,relation,refused_f1,final_f1,stop_reason,file
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,all_tools_required,2,1,True,"[""homeassistant/components/notify/html5.py""]","[""homeassistant/components/notify/html5.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/core/20/all_tools_required/rep2.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,all_tools_required,3,1,True,"[""fastapi/utils.py""]","[""fastapi/utils.py"", ""fastapi/openapi/utils.py"", ""fastapi/dependencies/utils.py""]",final_superset,0.0,0.0,end_turn,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/fastapi/17/all_tools_required/rep3.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,flask,6,structural_required,2,1,True,"[""src/flask/scaffold.py""]","[""src/flask/scaffold.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/flask/6/structural_required/rep2.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,all_tools_required,12,1,True,"[""gpt_engineer/core/token_usage.py"", ""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/token_usage.py"", ""gpt_engineer/core/ai.py""]",identical,0.6666666666666666,0.6666666666666666,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/all_tools_required/rep12.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,all_tools_required,3,1,True,"[""gpt_engineer/applications/cli/main.py"", ""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/token_usage.py"", ""gpt_engineer/applications/cli/main.py""]",partial_overlap,0.6666666666666666,0.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/all_tools_required/rep3.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,all_tools_required,4,1,True,"[""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/ai.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/all_tools_required/rep4.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,all_tools_required,6,1,True,"[""gpt_engineer/core/ai.py"", ""gpt_engineer/applications/cli/main.py""]","[""gpt_engineer/applications/cli/main.py"", ""gpt_engineer/core/ai.py""]",identical,0.6666666666666666,0.6666666666666666,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/all_tools_required/rep6.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,all_tools_required,7,1,True,"[""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/ai.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/all_tools_required/rep7.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,all_tools_required,8,1,True,"[""gpt_engineer/core/token_usage.py"", ""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/token_usage.py"", ""gpt_engineer/core/ai.py""]",identical,0.6666666666666666,0.6666666666666666,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/all_tools_required/rep8.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,temporal_frequency_required,7,1,True,"[""gpt_engineer/core/token_usage.py""]","[""gpt_engineer/core/ai.py"", ""gpt_engineer/core/token_usage.py""]",final_superset,0.0,0.6666666666666666,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/temporal_frequency_required/rep7.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,gpt-engineer,9,temporal_frequency_required,9,1,True,"[""gpt_engineer/applications/cli/main.py"", ""gpt_engineer/core/ai.py""]","[""gpt_engineer/core/ai.py""]",final_subset,0.6666666666666666,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/gpt-engineer/9/temporal_frequency_required/rep9.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,12,temporal_cochange_required,3,1,True,"[""keras/engine/training.py"", ""keras/utils/io_utils.py""]","[""keras/utils/io_utils.py""]",final_subset,0.28571428571428575,0.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/12/temporal_cochange_required/rep3.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,5,all_tools_required,13,1,True,"[""keras/engine/saving.py""]","[""keras/engine/saving.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/5/all_tools_required/rep13.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,9,all_tools_required,1,1,True,"[""keras/utils/data_utils.py""]","[""keras/utils/data_utils.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/9/all_tools_required/rep1.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,keras,9,all_tools_required,2,1,True,"[""keras/utils/data_utils.py""]","[""keras/utils/data_utils.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/keras/9/all_tools_required/rep2.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,localstack,19,all_tools_required,11,1,True,"[""localstack/utils/persistence.py""]","[""localstack/utils/persistence.py""]",identical,0.25,0.25,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/localstack/19/all_tools_required/rep11.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,requests,12,all_tools_required,3,1,True,"[""requests/sessions.py"", ""requests/adapters.py""]","[""requests/sessions.py"", ""requests/adapters.py""]",identical,0.8,0.8,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/requests/12/all_tools_required/rep3.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,requests,12,temporal_frequency_required,3,1,True,"[""requests/adapters.py"", ""requests/sessions.py""]","[""requests/adapters.py"", ""requests/sessions.py""]",identical,0.8,0.8,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/requests/12/temporal_frequency_required/rep3.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,rich,1,all_tools_required,1,1,True,"[""rich/console.py""]","[""rich/console.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/rich/1/all_tools_required/rep1.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,thefuck,10,all_tools_required,2,1,True,"[""thefuck/rules/missing_space_before_subcommand.py""]","[""thefuck/rules/missing_space_before_subcommand.py""]",identical,0.0,0.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/thefuck/10/all_tools_required/rep2.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,thefuck,10,temporal_cochange_required,1,1,True,"[""thefuck/utils.py"", ""tests/test_utils.py"", ""thefuck/rules/missing_space_before_subcommand.py""]","[""thefuck/rules/missing_space_before_subcommand.py""]",final_subset,0.3333333333333333,0.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/thefuck/10/temporal_cochange_required/rep1.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,thefuck,5,all_tools_required,1,1,True,"[""thefuck/shells.py""]","[""thefuck/shells.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/thefuck/5/all_tools_required/rep1.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,thefuck,5,all_tools_required,2,1,True,"[""thefuck/shells.py""]","[""thefuck/shells.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/thefuck/5/all_tools_required/rep2.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,thefuck,5,temporal_frequency_required,2,1,True,"[""thefuck/shells.py""]","[""thefuck/shells.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/thefuck/5/temporal_frequency_required/rep2.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,thefuck,5,temporal_frequency_required,3,1,True,"[""thefuck/shells.py""]","[""thefuck/shells.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/thefuck/5/temporal_frequency_required/rep3.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,transformers,25,all_tools_required,2,1,True,"[""src/transformers/tokenization_utils_base.py""]","[""src/transformers/tokenization_utils_base.py""]",identical,1.0,1.0,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/transformers/25/all_tools_required/rep2.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,transformers,27,all_tools_required,1,1,True,"[""src/transformers/models/t5/tokenization_t5_fast.py""]","[""src/transformers/models/t5/tokenization_t5_fast.py""]",identical,0.15384615384615385,0.15384615384615385,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/transformers/27/all_tools_required/rep1.json
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,transformers,5,all_tools_required,1,1,True,"[""src/transformers/__init__.py"", ""src/transformers/modeling_tf_dpr.py"", ""src/transformers/convert_pytorch_checkpoint_to_tf2.py"", ""src/transformers/utils/dummy_tf_objects.py"", ""docs/source/model_doc/dpr.rst""]","[""src/transformers/__init__.py"", ""src/transformers/modeling_tf_auto.py"", ""src/transformers/convert_pytorch_checkpoint_to_tf2.py"", ""src/transformers/utils/dummy_tf_objects.py"", ""src/transformers/modeling_tf_dpr.py"", ""docs/source/model_doc/dpr.rst""]",final_superset,0.6,0.7272727272727272,submitted,deepinfra_nvidia_NVIDIA-Nemotron-3-Super-120B-A12B/transformers/5/all_tools_required/rep1.json
fireworks_ai/accounts/fireworks/models/gpt-oss-120b,fastapi,17,temporal_cochange_required,3,1,True,"[""fastapi/dependencies/utils.py""]","[""fastapi/dependencies/utils.py""]",identical,0.0,0.0,max_turns,fireworks_ai_accounts_fireworks_models_gpt-oss-120b/fastapi/17/temporal_cochange_required/rep3.json
